FraPar-LuIta-5-m-2025-5	FraPar-m-5
FraPar-LuIta-6-m-2025-6	FraPar-m-6
FraPar-LuIta-7-m-2025-7	FraPar-m-7
FraPar-LuIta-8-m-2025-8	FraPar-m-8
FraPar-LuIta-9-m-2025-9	FraPar-m-9
AlVe-LuNov-33-m-2022-1	AlVe-m-1
AlVe-LuNov-34-m-2022-2	AlVe-m-2
AlVe-LuNov-35-m-2022-3	AlVe-m-3
AlVe-LuNov-36-m-2022-4	AlVe-m-4
AlVe-LuNov-37-m-2022-5	AlVe-m-5
AlVe-LuNov-38-m-2022-6	AlVe-m-6
AlVe-LuNov-39-m-2022-7	AlVe-m-7
ItCol_f_1	ItCol-f-1
ItCol_f_16	ItCol-f-16
ItCol_f_17	ItCol-f-17
ItCol_f_3	ItCol-f-3
ItCol_f_5	ItCol-f-5
ItCol_f_6	ItCol-f-6
ItCol_m_10	ItCol-m-10
ItCol_m_12	ItCol-m-12
ItCol_m_14	ItCol-m-14
ItCol_m_15	ItCol-m-15
ItCol_m_7	ItCol-m-7
ItCol_m_9	ItCol-m-9
FraBlu-LuIta-1-m-2025-16	FraBlu-m-1
FraBlu-LuIta-10-m-2025-25	FraBlu-m-10
FraBlu-LuIta-11-m-2025-26	FraBlu-m-11
FraBlu-LuIta-12-m-2025-27	FraBlu-m-12
FraBlu-LuIta-13-m-2025-28	FraBlu-m-13
FraBlu-LuIta-14-m-2025-29	FraBlu-m-14
FraBlu-LuIta-15-m-2025-30	FraBlu-m-15
FraBlu-LuIta-2-m-2025-17	FraBlu-m-2
FraBlu-LuIta-3-m-2025-18	FraBlu-m-3
FraBlu-LuIta-4-m-2025-19	FraBlu-m-4
FraBlu-LuIta-5-m-2025-20	FraBlu-m-5
FraBlu-LuIta-6-m-2025-21	FraBlu-m-6
FraBlu-LuIta-7-m-2025-22	FraBlu-m-7
FraBlu-LuIta-8-m-2025-23	FraBlu-m-8
FraBlu-LuIta-9-m-2025-24	FraBlu-m-9
Aquatica_lateralis_1	Aquatica_lateralis_1
Aquatica_lateralis_2	Aquatica_lateralis_2
Aquatica_leii	Aquatica_leii
Luciola_curtithorax_1	Luciola_curtithorax_1
Luciola_curtithorax_2	Luciola_curtithorax_2
Luciola_filiformis	Luciola_filiformis
Luciola_kagiana_1	Luciola_kagiana_1
Luciola_kagiana_2	Luciola_kagiana_2
Luciola_parvula_1	Luciola_parvula_1
Luciola_parvula_2	Luciola_parvula_2
Luciola_parvula_3	Luciola_parvula_3
Luciola_singapura	Luciola_singapura
Luciola_sp_1	Luciola_sp_1
Luciola_sp_2	Luciola_sp_2
Luciola_unmunsana	Luciola_unmunsana_1
Hotaria_unmunsana	Luciola_unmunsana_2
Nipponoluciola_cruciata_1	Nipponoluciola_cruciata_1
Nipponoluciola_cruciata_2	Nipponoluciola_cruciata_2
Nipponoluciola_cruciata_3	Nipponoluciola_cruciata_3
Nipponoluciola_cruciata_4	Nipponoluciola_cruciata_4
Nipponoluciola_cruciata_5	Nipponoluciola_cruciata_5
Nipponoluciola_cruciata_6	Nipponoluciola_cruciata_6
Sclerotia_substriata_1	Sclerotia_substriata_1
Sclerotia_substriata_2	Sclerotia_substriata_2
